"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1240500","","","","0"
"2016","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1265711","","","","0"
"2017","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1293789","","","","0"
"2018","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1334313","","","","0"
"2019","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1369036","","","","0"
"2020","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1385868","","","","0"
"2021","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1388001","","","","0"
"2022","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1428455","","","","0"
"2023","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1510860","","","","0"
"2024","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1580904","","","","0"
"2025","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v466777","1.2.37","1556583","","","","0"
"2000","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1136367","","","","0"
"2001","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1130678","","","","0"
"2002","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1127542","","","","0"
"2003","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1119773","","","","0"
"2004","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1108313","","","","0"
"2005","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1099673","","","","0"
"2006","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1092297","","","","0"
"2007","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1094006","","","","0"
"2008","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1103659","","","","0"
"2009","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1120866","","","","0"
"2010","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1138753","","","","0"
"2011","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1159706","","","","0"
